71699762089|85725514767|Frequent Hearses|20428|COMPLETED|2021-08-06T10:02:52.581521|
48462873731|24411791081|Of Human Bondage|1294|ACTIVE|2021-08-06T10:02:52.582633|
10019678770|52619273588|Death Be Not Proud|22373|COMPLETED|2021-08-06T10:02:52.583498|
20986614462|96436891516|Stranger in a Strange Land|28587|ACTIVE|2021-08-06T10:02:52.584387|
93512354187|16963600966|Nectar in a Sieve|39333|COMPLETED|2021-08-06T10:02:52.585231|
61218635694|45626046016|The Curious Incident of the Dog in the Night-Time|28053|ACTIVE|2021-08-06T10:02:52.585956|
06624665815|99007123074|The Little Foxes|10487|COMPLETED|2021-08-06T10:02:52.586583|
81349342468|25125841014|The Other Side of Silence|34349|ACTIVE|2021-08-06T10:02:52.587301|
34441420494|21058018307|When the Green Woods Laugh|14147|COMPLETED|2021-08-06T10:02:52.587943|
03248145486|68311261578|The Moving Toyshop|13520|ACTIVE|2021-08-06T10:02:52.588516|
82173841584|88472655363|Now Sleeps the Crimson Petal|41964|COMPLETED|2021-08-06T10:02:52.589085|
43709360577|16704366206|In a Dry Season|36462|ACTIVE|2021-08-06T10:02:52.589553|
87223631330|57316692776|Fair Stood the Wind for France|37455|COMPLETED|2021-08-06T10:02:52.590032|
58556537101|74141102790|Pale Kings and Princes|45732|ACTIVE|2021-08-06T10:02:52.590443|
23028928038|16937960861|Absalom, Absalom!|10920|COMPLETED|2021-08-06T10:02:52.590816|
66384519225|76182067658|Carrion Comfort|40117|ACTIVE|2021-08-06T10:02:52.591174|
88175891211|06174506838|To Say Nothing of the Dog|33866|COMPLETED|2021-08-06T10:02:52.591513|
73131032347|57662471075|The Grapes of Wrath|48214|ACTIVE|2021-08-06T10:02:52.591862|
63194370133|82516245922|The Painted Veil|5719|COMPLETED|2021-08-06T10:02:52.592196|
77356064922|56162807186|To Your Scattered Bodies Go|47460|ACTIVE|2021-08-06T10:02:52.592487|
11899347562|26192708004|His Dark Materials|18590|COMPLETED|2021-08-06T10:02:52.592756|
50767228803|15804573758|The Moon by Night|36043|ACTIVE|2021-08-06T10:02:52.593051|
28934033567|69224841858|Butter In a Lordly Dish|12578|COMPLETED|2021-08-06T10:02:52.593386|
39378665907|22241876581|Beneath the Bleeding|25039|ACTIVE|2021-08-06T10:02:52.593683|
46337500704|31417608971|The Moon by Night|2732|COMPLETED|2021-08-06T10:02:52.594071|
53771926163|33144265054|The Wings of the Dove|49678|ACTIVE|2021-08-06T10:02:52.594344|
74538107257|74240421713|The Curious Incident of the Dog in the Night-Time|29194|COMPLETED|2021-08-06T10:02:52.594586|
28888171725|44380772133|The Mermaids Singing|18138|ACTIVE|2021-08-06T10:02:52.594835|
43583078659|76531765436|Dying of the Light|25382|COMPLETED|2021-08-06T10:02:52.595096|
44631614447|74021055040|The Far-Distant Oxus|2891|ACTIVE|2021-08-06T10:02:52.595293|
47204078414|46839515320|That Hideous Strength|25545|COMPLETED|2021-08-06T10:02:52.595463|
17312197633|54111737021|The Mirror Crack'd from Side to Side|39976|ACTIVE|2021-08-06T10:02:52.595620|
31877912297|07011012756|The Heart Is a Lonely Hunter|48753|COMPLETED|2021-08-06T10:02:52.595773|
74072011287|26924820454|Little Hands Clapping|45489|ACTIVE|2021-08-06T10:02:52.595922|
67367666673|13883720744|The Daffodil Sky|4840|COMPLETED|2021-08-06T10:02:52.596060|
52056473404|81608225905|Vile Bodies|2003|ACTIVE|2021-08-06T10:02:52.596191|
05765740910|15750437378|Eyeless in Gaza|31111|COMPLETED|2021-08-06T10:02:52.596320|
34733407403|35635246225|Ego Dominus Tuus|1981|ACTIVE|2021-08-06T10:02:52.596444|
51114509261|36058735071|Stranger in a Strange Land|33911|COMPLETED|2021-08-06T10:02:52.596583|
88042021639|33147776037|An Acceptable Time|1699|ACTIVE|2021-08-06T10:02:52.596701|
19181272530|46677558075|Rosemary Sutcliff|43036|COMPLETED|2021-08-06T10:02:52.596827|
45031981877|06263556057|In Dubious Battle|18526|ACTIVE|2021-08-06T10:02:52.596950|
89654685067|42470214396|Far From the Madding Crowd|19013|COMPLETED|2021-08-06T10:02:52.597065|
61761375860|97534599537|Blood's a Rover|44518|ACTIVE|2021-08-06T10:02:52.597189|
81429505509|37637322247|Death Be Not Proud|3505|COMPLETED|2021-08-06T10:02:52.597323|
10274884482|17212400609|The Torment of Others|20280|ACTIVE|2021-08-06T10:02:52.597434|
17920209718|54179621986|Consider the Lilies|28515|COMPLETED|2021-08-06T10:02:52.597549|
82850671772|83222023088|Stranger in a Strange Land|14892|ACTIVE|2021-08-06T10:02:52.597702|
67091220180|42605846668|The Heart Is Deceitful Above All Things|12759|COMPLETED|2021-08-06T10:02:52.597830|
42435252778|87505463797|The Soldier's Art|10727|ACTIVE|2021-08-06T10:02:52.597945|
65888011230|84528056748|Dulce et Decorum Est|8850|COMPLETED|2021-08-06T10:02:52.598043|
35781068434|35077842401|The House of Mirth|36433|ACTIVE|2021-08-06T10:02:52.598142|
17686621273|35835354522|Blood's a Rover|49203|COMPLETED|2021-08-06T10:02:52.598241|
61249659547|06225570307|The Other Side of Silence|34208|ACTIVE|2021-08-06T10:02:52.598340|
78758816751|10630837106|A Time of Gifts|44513|COMPLETED|2021-08-06T10:02:52.598432|
75045705403|41616368380|The Way of All Flesh|14712|ACTIVE|2021-08-06T10:02:52.598544|
08257639504|24861716300|No Longer at Ease|16302|COMPLETED|2021-08-06T10:02:52.598634|
29765709221|18403869780|For Whom the Bell Tolls|25216|ACTIVE|2021-08-06T10:02:52.598730|
96048089068|97068458132|Everything is Illuminated|35370|COMPLETED|2021-08-06T10:02:52.598836|
40038080232|59263728816|To a God Unknown|862|ACTIVE|2021-08-06T10:02:52.598924|
91217357258|10544608507|By Grand Central Station I Sat Down and Wept|6713|COMPLETED|2021-08-06T10:02:52.599039|
06875527308|61660835536|All Passion Spent|5647|ACTIVE|2021-08-06T10:02:52.599126|
16884612701|76066271176|Frequent Hearses|18678|COMPLETED|2021-08-06T10:02:52.599224|
45105494164|67283427191|The Heart Is a Lonely Hunter|33031|ACTIVE|2021-08-06T10:02:52.599315|
19167722956|54472955018|In a Dry Season|12875|COMPLETED|2021-08-06T10:02:52.599411|
11143832231|20167024159|When the Green Woods Laugh|31314|ACTIVE|2021-08-06T10:02:52.599511|
83400350181|49197395786|Françoise Sagan|40272|COMPLETED|2021-08-06T10:02:52.599591|
32250284113|13475478656|This Lime Tree Bower|41419|ACTIVE|2021-08-06T10:02:52.599685|
85521800197|90577298855|The Wives of Bath|34457|COMPLETED|2021-08-06T10:02:52.599767|
37012691641|39675270738|Brandy of the Damned|28464|ACTIVE|2021-08-06T10:02:52.599846|
70523617411|54603520531|All the King's Men|24101|COMPLETED|2021-08-06T10:02:52.599922|
26850018232|56112544972|It's a Battlefield|4957|ACTIVE|2021-08-06T10:02:52.600002|
56293467367|72902352166|Antic Hay|23355|COMPLETED|2021-08-06T10:02:52.600079|
36043336287|12824548426|The Cricket on the Hearth|29575|ACTIVE|2021-08-06T10:02:52.600160|
67945061241|03578305559|Ego Dominus Tuus|45370|COMPLETED|2021-08-06T10:02:52.600254|
09541454300|08665636295|In a Glass Darkly|13698|ACTIVE|2021-08-06T10:02:52.600326|
